                            第一批成绩汇总表
      考号                姓名         语文        数学       英语
10000101          张梅          98          88          115
10000102          史青衿          99          98          91
10000103          王晓光          87          96          111
10000104          李光华          101          84          110
10000105          王轩然          111          121          85
10000106          程成          89          114          117
10000107          李其玉          89          112          121
10000108          刘圆圆          98          141          98
10000109          姜高          99          87          99
10000110          赵宁宁          101          78          97
10000111          张诗灵          124          98          89
10000112          张三          131          89          78
10000113          李四          102          123          125
10000114          王五          110          132          114
10000115          赵六          89          114          134
10000116          马六          98          141          112
10000117          王朝          102          142          141
10000118          马汉          110          89          124
10000119          马八          102          112          111
10000120          周培成          105          98          89
10000121          陈育铖          109          87          98
10000122          李国浩          98          59          140
10000123          郭绍敏          87          97          121
10000124          曾猛          77          102          90
10000125          谢灿辉          74          115          97
